City Name,Airport Name,Country,Length (ft),Elevation (ft),,Geographic Location
KABUL,KABUL,AFGHANISTAN,11483,5871,,3434N 6913E
ANCHORAGE INTL,ANCHORAGE INTL,ALASKA,10897,144,,6110N 15000W
ANCHORAGE ELMENDORF,ELMENDORF,ALASKA,10000,213,,6115N 14948W
COLD BAY,COLD BAY,ALASKA,10415,98,,5512N 16243W
FAIRBANKS,FAIRBANKS INTL,ALASKA,10300,434,,6449N 14751W
SHEYMA,SHEYMA,ALASKA,9992,97,,5243N 17407W
TIRANA,RINAS,ALBANIA,9022,118,,4125N 1943E
ADRAR,TOUAT,ALGERIA,9843,915,,2750N 0011W
ALGIERS,HOUARI BOUMEDIENNE,ALGERIA,11500,82,,3642N 0313E
ANNABA,EL MELLAH,ALGERIA,9843,16,,3649N 0749E
CONSTANTINE,AIN-EL-BEY,ALGERIA,7874,2303,,3617N 0637E
EL GOLEA,EL GOLEA,ALGERIA,9843,1306,,3034N 0252E
GHARDAIA,GHARDAIA,ALGERIA,10171,1512,,3223N 0349E
HASSI MESSAOUD,OUED IRARA,ALGERIA,9842,463,,3140N 0609E
IN SALAH,IN SALAH,ALGERIA,7874,883,,2715N 0231E
ORAN,ES SENIA,ALGERIA,9843,295,,3538N 0037E
TAMANRASSET,TAMANRASSET,ALGERIA,11811,4518,,2249N 0528E
ZARAZAITINE,IN AMENAS,ALGERIA,9843,1847,,2803N 0938E
LUANDA,LUANDA,ANGOLA,12139,243,,0851S 1314E
BUENOS AIRES,EZEIZA,ARGENTINA,10827,66,,3449S 5832W
COMODORO RIVADAVIA,COMODORO RIVADAVIA,ARGENTINA,9022,190,,4547S 6728W
CORDOBA,CORDOBA,ARGENTINA,10499,1604,,3119S 6413W
MAR DE PLATA,MAR DE PLATA,ARGENTINA,7218,66,,3756S 5735W
ASCENSION,WIDEAWAKE,ASCENSION IS.,10000,273,,0758S 1424W
ADELAIDE,ADELAIDE INTL.,AUSTRALIA,8294,20,,3457S 13832E
ALICE SPRINGS,ALICE SPRINGS,AUSTRALIA,8000,1789,,2349S 13354E
AVALON,AVALON,AUSTRALIA,10000,35,,3802S 14428E
BRISBANE,BRISBANE,AUSTRALIA,11483,13,,2723S 15307E
CAIRNS,CAIRNS,AUSTRALIA,10489,10,,1653S 1454E
CANBERRA,CANBERRA,AUSTRALIA,8800,1888,,3519S 14912E
COOLANGATTA,COOLANGATTA,AUSTRALIA,6700,21,,2810S 15330E
DARWIN,DARWIN INTL.,AUSTRALIA,10906,102,,1225S 13053E
KARRATHA,DAMPIER,AUSTRALIA,6070,29,,2043S 11646E
KATHERINE,TINDAL,AUSTRALIA,8900,431,,1431S 13223E
MEEKATHARRA,MEEKATHARRA,AUSTRALIA,7155,1713,,2637S 11833E
MELBOURNE,MELBOURNE INTL.,AUSTRALIA,12000,434,,3741S 14451E
MOUNT ISA,MOUNT ISA,AUSTRALIA,8400,1121,,2040S 13929E
NORFOLK ISLAND,NORFOLK ISLAND,AUSTRALIA,6400,371,,2903S 16756E
